Designator,Mid X,Mid Y,Rotation,Layer
C1,472.5,-106.385,90.0,bottom
C2,421.0,-111.66,0.0,bottom
C3,417.5,-111.66,0.0,bottom
C4,403.5,-109.66,0.0,bottom
C5,370.725,-108.96,0.0,bottom
C6,478.0,-117.935,90.0,bottom
C7,311.25,-117.81,180.0,bottom
Q1,409.0,-116.16,270.0,bottom
R1,459.5,-104.16,90.0,bottom
R10,424.0,-104.0725,90.0,bottom
R101,338.675,-116.16,180.0,bottom
R11,422.0,-104.0725,90.0,bottom
R12,411.0,-104.16,90.0,bottom
R13,409.0,-104.16,90.0,bottom
R14,407.0,-104.16,90.0,bottom
R15,461.5,-104.16,90.0,bottom
R16,405.0,-104.16,90.0,bottom
R17,409.0,-112.16,90.0,bottom
R18,482.5,-118.0725,90.0,bottom
R19,314.005584,-110.16,90.0,bottom
R2,457.5,-104.16,90.0,bottom
R20,312.42,-110.16,90.0,bottom
R21,310.834417,-110.16,90.0,bottom
R3,455.5,-104.16,90.0,bottom
R4,445.0,-104.16,90.0,bottom
R5,443.0,-104.16,90.0,bottom
R6,441.0,-104.16,90.0,bottom
R7,439.0,-104.16,90.0,bottom
R8,428.0,-104.0725,90.0,bottom
R9,426.0,-104.0725,90.0,bottom
U1,468.175,-111.93,0.0,bottom
U2,428.0,-114.89,270.0,bottom
U3,417.5,-116.39,180.0,bottom
U4,396.5,-112.16,0.0,bottom
U5,363.905,-111.93,0.0,bottom
U6,381.5,-114.16,0.0,bottom
U7,349.35,-114.16,0.0,bottom
U8,455.5,-114.16,0.0,bottom
U9,439.5,-114.16,0.0,bottom
